Numero de parejas, Tiempo de ejecuci�n
270, 0.02757320 
270, 0.01881370 
270, 0.01590730 
270, 0.01624430 
270, 0.01627160 
270, 0.01631580 
270, 0.01597700 
270, 0.01701180 
270, 0.03580980 
270, 0.01942540 
270, 0.01532170 
270, 0.01383290 
270, 0.01808380 
270, 0.03197540 
270, 0.01765090 
270, 0.01387290 
270, 0.01401200 
270, 0.01715400 
270, 0.01320320 
270, 0.01556530 
270, 0.02055340 
270, 0.01535270 
270, 0.01350290 
270, 0.02450650 
270, 0.01427950 
270, 0.01540370 
270, 0.01698850 
270, 0.01481620 
270, 0.01618180 
270, 0.02446450 
270, 0.02744510 
270, 0.02150580 
270, 0.02265530 
270, 0.01286260 
270, 0.01794800 
270, 0.02022170 
270, 0.01962170 
270, 0.01659080 
270, 0.02328980 
270, 0.02713690 
270, 0.02335120 
280, 0.01659560 
280, 0.02202430 
280, 0.01763740 
280, 0.01987980 
280, 0.01576360 
280, 0.01653220 
280, 0.01932440 
280, 0.01630770 
280, 0.01557100 
280, 0.02165860 
280, 0.01450220 
280, 0.01578180 
280, 0.02421250 
280, 0.01640650 
280, 0.01557730 
280, 0.03925940 
280, 0.02434030 
280, 0.01778930 
280, 0.02207600 
280, 0.01681880 
280, 0.01659750 
280, 0.01885410 
280, 0.02634560 
280, 0.02884460 
280, 0.01751750 
280, 0.03560580 
280, 0.02374330 
280, 0.01867750 
280, 0.01941970 
280, 0.01570630 
280, 0.03569010 
280, 0.01746840 
280, 0.01776660 
280, 0.01732520 
280, 0.02838640 
280, 0.01604400 
280, 0.01497090 
280, 0.01767550 
280, 0.01627620 
280, 0.01609680 
280, 0.01583000 
280, 0.01670510 
280, 0.02847980 
