Numero de parejas, Tiempo de ejecución
220, 0.01884080 
220, 0.01412030 
220, 0.01289080 
220, 0.02050780 
220, 0.01464800 
220, 0.01312810 
220, 0.01235280 
220, 0.00906290 
220, 0.01187730 
220, 0.00792030 
220, 0.01195310 
230, 0.00713360 
230, 0.01142830 
230, 0.00759440 
230, 0.01705700 
230, 0.00811800 
230, 0.01171910 
230, 0.01030440 
230, 0.00736490 
230, 0.00949390 
230, 0.01365120 
230, 0.00711420 
230, 0.02006360 
230, 0.01081080 
230, 0.00897420 
230, 0.00712750 
230, 0.00831490 
230, 0.01287290 
230, 0.01134490 
230, 0.01093990 
230, 0.00847060 
240, 0.01713660 
240, 0.02409570 
240, 0.01800240 
240, 0.01502160 
240, 0.01368240 
240, 0.01603250 
240, 0.02706540 
240, 0.02962320 
240, 0.01995730 
240, 0.01609000 
240, 0.01396540 
240, 0.01779640 
240, 0.01801800 
240, 0.01384380 
240, 0.02474510 
240, 0.01519840 
240, 0.01817040 
240, 0.01741440 
240, 0.01405860 
240, 0.01552820 
250, 0.01737430 
250, 0.01435930 
250, 0.01648980 
250, 0.01071550 
250, 0.01550990 
250, 0.01685730 
250, 0.02876400 
250, 0.01190400 
250, 0.01549760 
250, 0.02143320 
250, 0.03038580 
250, 0.01985180 
250, 0.01948590 
250, 0.01848120 
250, 0.02132630 
250, 0.02113330 
250, 0.01528770 
250, 0.01207500 
250, 0.01334040 
250, 0.01458170 
260, 0.03172340 
260, 0.01499910 
260, 0.02384750 
260, 0.01054090 
260, 0.00933650 
260, 0.01155490 
260, 0.01970020 
260, 0.01228210 
260, 0.01710780 
260, 0.03364550 
260, 0.02819800 
260, 0.03538750 
260, 0.01580620 
260, 0.01442120 
260, 0.01482120 
260, 0.01594480 
260, 0.02046320 
260, 0.01561660 
260, 0.02936090 
260, 0.01684180 
270, 0.01609730 
270, 0.01709790 
270, 0.01800730 
270, 0.01867020 
270, 0.02250390 
270, 0.02067060 
270, 0.02377260 
270, 0.01925060 
270, 0.02080870 
270, 0.01886670 
270, 0.01938260 
270, 0.02010470 
270, 0.03394540 
270, 0.01739310 
270, 0.01857510 
270, 0.02009380 
270, 0.02229930 
270, 0.01965840 
270, 0.02114300 
270, 0.01642860 
280, 0.01954780 
280, 0.01867140 
280, 0.02324320 
280, 0.02229090 
280, 0.02628060 
280, 0.02095750 
280, 0.01935790 
280, 0.01924430 
280, 0.01902550 
280, 0.01928400 
280, 0.01668450 
280, 0.02011850 
280, 0.01664730 
280, 0.02210040 
280, 0.02275200 
280, 0.01730680 
280, 0.02311730 
280, 0.01773180 
280, 0.02487170 
280, 0.03461750 
290, 0.01757180 
290, 0.02535910 
290, 0.02434570 
290, 0.01188460 
290, 0.01177680 
290, 0.02135670 
290, 0.02403620 
290, 0.03311490 
290, 0.01273290 
290, 0.01796560 
290, 0.01325230 
290, 0.01726170 
290, 0.01634480 
290, 0.01732050 
290, 0.01524480 
290, 0.02047340 
290, 0.01693400 
290, 0.02766650 
290, 0.02269610 
290, 0.01699740 
300, 0.02013200 
300, 0.01484530 
300, 0.01560740 
300, 0.02337750 
300, 0.01641820 
300, 0.02543930 
300, 0.03675730 
300, 0.01468690 
300, 0.01416370 
300, 0.03043200 
300, 0.02208660 
300, 0.03972870 
300, 0.01976630 
300, 0.01922490 
300, 0.02863790 
300, 0.02616560 
300, 0.03143870 
300, 0.01794410 
300, 0.02442470 
300, 0.02399340 
310, 0.02251070 
310, 0.02454250 
310, 0.02388500 
310, 0.02312030 
310, 0.02429320 
310, 0.02281110 
310, 0.01930590 
310, 0.02687170 
310, 0.02893860 
310, 0.02653320 
310, 0.03975540 
310, 0.02190240 
310, 0.02666220 
310, 0.02303120 
310, 0.02456980 
310, 0.03129140 
310, 0.02985660 
310, 0.02274250 
310, 0.02922980 
310, 0.03082500 
320, 0.02693880 
320, 0.02128560 
320, 0.02749500 
320, 0.03356760 
320, 0.02914150 
320, 0.02512350 
320, 0.03464070 
320, 0.02582440 
320, 0.04350800 
320, 0.02463660 
320, 0.04805170 
320, 0.03335350 
320, 0.03553430 
320, 0.02685310 
320, 0.02268990 
320, 0.03230040 
320, 0.02740050 
320, 0.03280300 
320, 0.05114880 
320, 0.03294590 
330, 0.02655500 
330, 0.02815250 
330, 0.02602680 
330, 0.02732820 
330, 0.02663690 
330, 0.03036790 
330, 0.02477710 
330, 0.03121460 
330, 0.03334340 
330, 0.02727130 
330, 0.02524600 
330, 0.02868820 
330, 0.03299890 
330, 0.03522840 
330, 0.02942090 
330, 0.03791020 
330, 0.02927070 
330, 0.02000810 
330, 0.02330300 
330, 0.02718990 
340, 0.03575590 
340, 0.03355660 
340, 0.03381120 
340, 0.02488550 
340, 0.01749780 
340, 0.02804940 
340, 0.02870940 
340, 0.03056050 
340, 0.04147160 
340, 0.02797830 
340, 0.02783960 
340, 0.02719660 
340, 0.02054990 
340, 0.05776800 
340, 0.03543420 
340, 0.03264830 
340, 0.04030610 
340, 0.04027970 
340, 0.02691020 
340, 0.02778980 
350, 0.02668390 
350, 0.05900160 
350, 0.03428860 
350, 0.04650350 
350, 0.02749530 
350, 0.02919180 
350, 0.03234880 
350, 0.02899660 
350, 0.04294690 
350, 0.03488040 
350, 0.06217930 
350, 0.02935250 
350, 0.02486940 
350, 0.03647670 
350, 0.02774530 
350, 0.04570670 
350, 0.02894300 
350, 0.03840630 
350, 0.03352490 
350, 0.02808630 
360, 0.04424580 
360, 0.03131780 
360, 0.04877780 
360, 0.03670100 
360, 0.04002600 
360, 0.03237420 
360, 0.03070660 
360, 0.03350110 
360, 0.03066850 
360, 0.03991820 
360, 0.02580540 
360, 0.03140630 
360, 0.02302740 
360, 0.02307130 
360, 0.02051120 
360, 0.02405600 
360, 0.02470510 
360, 0.02074590 
360, 0.04400350 
360, 0.02267320 
370, 0.03306770 
370, 0.03015720 
370, 0.02642990 
370, 0.05492870 
370, 0.02292800 
370, 0.02312360 
370, 0.01965580 
370, 0.04502610 
370, 0.04488470 
370, 0.04227980 
370, 0.03310920 
370, 0.02676670 
370, 0.03274640 
370, 0.02038270 
370, 0.02622020 
370, 0.03217130 
370, 0.03140350 
370, 0.02953510 
370, 0.02550530 
370, 0.02663710 
380, 0.02119400 
380, 0.02835680 
380, 0.04476760 
380, 0.02942900 
380, 0.03399320 
380, 0.05750320 
380, 0.03115160 
380, 0.03245570 
380, 0.06503570 
380, 0.03843920 
380, 0.04073300 
380, 0.03696220 
380, 0.03279040 
380, 0.03169100 
380, 0.03165170 
380, 0.06886600 
380, 0.04960320 
380, 0.06537390 
380, 0.03079820 
380, 0.04972400 
390, 0.02895100 
390, 0.02319180 
390, 0.05141040 
390, 0.04118010 
390, 0.04624910 
390, 0.05730620 
390, 0.04405670 
390, 0.03286600 
390, 0.03077730 
390, 0.04196180 
390, 0.03427090 
390, 0.04254120 
390, 0.04392120 
390, 0.04053350 
390, 0.05125960 
390, 0.03594510 
390, 0.05688180 
390, 0.03884850 
390, 0.04739090 
390, 0.03479590 
400, 0.04846780 
400, 0.06170980 
400, 0.06246210 
400, 0.04816120 
400, 0.06404580 
400, 0.06838060 
400, 0.06279760 
400, 0.04493630 
400, 0.05736150 
400, 0.04666160 
400, 0.06208720 
400, 0.05053030 
400, 0.05482640 
400, 0.05058990 
400, 0.07329750 
400, 0.06655450 
400, 0.08238640 
400, 0.07149370 
400, 0.06273590 
400, 0.06771920 
410, 0.04879670 
410, 0.05525810 
410, 0.05643270 
410, 0.05609520 
410, 0.05331380 
410, 0.06115600 
410, 0.04696090 
410, 0.04988660 
410, 0.05667570 
410, 0.08408140 
410, 0.04767050 
410, 0.04869870 
410, 0.03936620 
410, 0.05408350 
410, 0.04446040 
410, 0.04011880 
410, 0.04619490 
410, 0.04962070 
410, 0.02877820 
410, 0.05033030 
420, 0.05792470 
420, 0.06797480 
420, 0.05922930 
420, 0.03277220 
420, 0.04082370 
